日付,識別コード,商品名,数量,備考
2021/3/10 0:00,"001",商品A,24,"メモなど"
2021/3/11 0:00,"001",商品A,72,"メモなど"
2021/3/12 0:00,"001",商品A,80,"メモなど"
2021/3/15 0:00,"001",商品A,132,"メモなど"
2021/3/16 0:00,"001",商品A,115,"メモなど"
2021/3/17 0:00,"001",商品A,65,"メモなど"
2021/3/18 0:00,"001",商品A,72,"メモなど"
2021/3/19 0:00,"001",商品A,111,"メモなど"
2021/3/22 0:00,"001",商品A,52,"メモなど"
2021/3/23 0:00,"001",商品A,75,"メモなど"
2021/3/24 0:00,"001",商品A,31,"メモなど"
2021/3/25 0:00,"001",商品A,37,"メモなど"
2021/3/26 0:00,"001",商品A,85,"メモなど"
2021/3/29 0:00,"001",商品A,100,"メモなど"
2021/3/30 0:00,"001",商品A,47,"メモなど"
2021/3/31 0:00,"001",商品A,44,"メモなど"
2021/4/1 0:00,"001",商品A,125,"メモなど"
2021/4/2 0:00,"001",商品A,67,"メモなど"
2021/4/5 0:00,"001",商品A,161,"メモなど"
2021/4/6 0:00,"001",商品A,81,"メモなど"
2021/4/7 0:00,"001",商品A,94,"メモなど"
2021/4/8 0:00,"001",商品A,165,"メモなど"
2021/4/9 0:00,"001",商品A,92,"メモなど"
2021/4/12 0:00,"001",商品A,95,"メモなど"
2021/4/13 0:00,"001",商品A,65,"メモなど"
2021/4/14 0:00,"001",商品A,78,"メモなど"
2021/4/15 0:00,"001",商品A,66,"メモなど"
2021/4/16 0:00,"001",商品A,47,"メモなど"
2021/4/17 0:00,"001",商品A,66,"メモなど"
2021/4/19 0:00,"001",商品A,35,"メモなど"
2021/4/20 0:00,"001",商品A,41,"メモなど"
2021/4/21 0:00,"001",商品A,61,"メモなど"
2021/4/22 0:00,"001",商品A,104,"メモなど"
2021/4/23 0:00,"001",商品A,41,"メモなど"
2021/4/26 0:00,"001",商品A,104,"メモなど"
2021/4/27 0:00,"001",商品A,88,"メモなど"
2021/4/28 0:00,"001",商品A,143,"メモなど"
2021/4/30 0:00,"001",商品A,88,"メモなど"
2021/5/6 0:00,"001",商品A,181,"メモなど"
2021/5/7 0:00,"001",商品A,214,"メモなど"
2021/5/10 0:00,"001",商品A,142,"メモなど"
2021/5/11 0:00,"001",商品A,78,"メモなど"
2021/5/12 0:00,"001",商品A,54,"メモなど"
2021/5/13 0:00,"001",商品A,31,"メモなど"
2021/5/14 0:00,"001",商品A,111,"メモなど"
2021/5/17 0:00,"001",商品A,82,"メモなど"
2021/5/18 0:00,"001",商品A,107,"メモなど"
2021/5/19 0:00,"001",商品A,55,"メモなど"
2021/5/20 0:00,"001",商品A,29,"メモなど"
2021/5/21 0:00,"001",商品A,81,"メモなど"
2021/5/24 0:00,"001",商品A,114,"メモなど"
2021/5/25 0:00,"001",商品A,33,"メモなど"
2021/5/26 0:00,"001",商品A,68,"メモなど"
2021/5/27 0:00,"001",商品A,52,"メモなど"
2021/5/28 0:00,"001",商品A,82,"メモなど"
2021/5/31 0:00,"001",商品A,117,"メモなど"
2021/6/1 0:00,"001",商品A,125,"メモなど"
2021/6/2 0:00,"001",商品A,50,"メモなど"
2021/6/3 0:00,"001",商品A,109,"メモなど"
2021/6/4 0:00,"001",商品A,97,"メモなど"
2021/6/7 0:00,"001",商品A,146,"メモなど"
2021/6/8 0:00,"001",商品A,149,"メモなど"
2021/6/9 0:00,"001",商品A,38,"メモなど"
2021/6/10 0:00,"001",商品A,53,"メモなど"
2021/6/11 0:00,"001",商品A,46,"メモなど"
2021/6/14 0:00,"001",商品A,293,"メモなど"
2021/6/15 0:00,"001",商品A,64,"メモなど"
2021/6/16 0:00,"001",商品A,97,"メモなど"
2021/6/17 0:00,"001",商品A,72,"メモなど"
2021/6/18 0:00,"001",商品A,129,"メモなど"
2021/6/21 0:00,"001",商品A,116,"メモなど"
2021/6/22 0:00,"001",商品A,89,"メモなど"
2021/6/23 0:00,"001",商品A,69,"メモなど"
2021/6/24 0:00,"001",商品A,70,"メモなど"
2021/6/25 0:00,"001",商品A,46,"メモなど"
2021/6/28 0:00,"001",商品A,180,"メモなど"
2021/6/29 0:00,"001",商品A,72,"メモなど"
2021/6/30 0:00,"001",商品A,207,"メモなど"
2021/7/1 0:00,"001",商品A,159,"メモなど"
2021/7/2 0:00,"001",商品A,91,"メモなど"
2021/7/5 0:00,"001",商品A,95,"メモなど"
2021/7/6 0:00,"001",商品A,20,"メモなど"
2021/7/7 0:00,"001",商品A,67,"メモなど"
2021/7/8 0:00,"001",商品A,148,"メモなど"
2021/7/9 0:00,"001",商品A,60,"メモなど"
2021/7/12 0:00,"001",商品A,128,"メモなど"
2021/7/13 0:00,"001",商品A,71,"メモなど"
2021/7/14 0:00,"001",商品A,43,"メモなど"
2021/7/15 0:00,"001",商品A,41,"メモなど"
2021/7/16 0:00,"001",商品A,77,"メモなど"
2021/7/17 0:00,"001",商品A,35,"メモなど"
2021/7/19 0:00,"001",商品A,74,"メモなど"
2021/7/20 0:00,"001",商品A,36,"メモなど"
2021/7/21 0:00,"001",商品A,112,"メモなど"
2021/7/26 0:00,"001",商品A,112,"メモなど"
2021/7/27 0:00,"001",商品A,90,"メモなど"
2021/7/28 0:00,"001",商品A,94,"メモなど"
2021/7/29 0:00,"001",商品A,75,"メモなど"
2021/7/30 0:00,"001",商品A,67,"メモなど"
2021/8/2 0:00,"001",商品A,116,"メモなど"
2021/8/3 0:00,"001",商品A,84,"メモなど"
2021/8/4 0:00,"001",商品A,53,"メモなど"
2021/8/5 0:00,"001",商品A,40,"メモなど"
2021/8/6 0:00,"001",商品A,114,"メモなど"
2021/8/7 0:00,"001",商品A,104,"メモなど"
2021/8/10 0:00,"001",商品A,89,"メモなど"
2021/8/11 0:00,"001",商品A,74,"メモなど"
2021/8/12 0:00,"001",商品A,61,"メモなど"
2021/8/16 0:00,"001",商品A,78,"メモなど"
2021/8/17 0:00,"001",商品A,83,"メモなど"
2021/8/18 0:00,"001",商品A,107,"メモなど"
2021/8/19 0:00,"001",商品A,52,"メモなど"
2021/8/20 0:00,"001",商品A,61,"メモなど"
2021/8/23 0:00,"001",商品A,71,"メモなど"
2021/8/24 0:00,"001",商品A,43,"メモなど"
2021/8/25 0:00,"001",商品A,24,"メモなど"
2021/8/26 0:00,"001",商品A,67,"メモなど"
2021/8/27 0:00,"001",商品A,107,"メモなど"
2021/8/30 0:00,"001",商品A,112,"メモなど"
2021/8/31 0:00,"001",商品A,128,"メモなど"
2021/9/1 0:00,"001",商品A,120,"メモなど"
2021/9/2 0:00,"001",商品A,45,"メモなど"
2021/9/3 0:00,"001",商品A,36,"メモなど"
2021/9/6 0:00,"001",商品A,102,"メモなど"
2021/9/7 0:00,"001",商品A,92,"メモなど"
2021/9/8 0:00,"001",商品A,98,"メモなど"
2021/9/9 0:00,"001",商品A,45,"メモなど"
2021/9/10 0:00,"001",商品A,60,"メモなど"
2021/9/13 0:00,"001",商品A,68,"メモなど"
2021/9/14 0:00,"001",商品A,66,"メモなど"
2021/9/15 0:00,"001",商品A,42,"メモなど"
2021/9/16 0:00,"001",商品A,77,"メモなど"
2021/9/17 0:00,"001",商品A,107,"メモなど"
2021/9/21 0:00,"001",商品A,98,"メモなど"
2021/9/22 0:00,"001",商品A,20,"メモなど"
2021/9/24 0:00,"001",商品A,76,"メモなど"
2021/9/27 0:00,"001",商品A,93,"メモなど"
2021/9/28 0:00,"001",商品A,103,"メモなど"
2021/9/29 0:00,"001",商品A,18,"メモなど"
2021/9/30 0:00,"001",商品A,62,"メモなど"
2021/10/1 0:00,"001",商品A,131,"メモなど"
2021/10/4 0:00,"001",商品A,194,"メモなど"
2021/10/5 0:00,"001",商品A,35,"メモなど"
2021/10/6 0:00,"001",商品A,113,"メモなど"
2021/10/7 0:00,"001",商品A,98,"メモなど"
2021/10/8 0:00,"001",商品A,165,"メモなど"
2021/10/11 0:00,"001",商品A,104,"メモなど"
2021/10/12 0:00,"001",商品A,37,"メモなど"
2021/10/13 0:00,"001",商品A,47,"メモなど"
2021/10/14 0:00,"001",商品A,28,"メモなど"
2021/10/15 0:00,"001",商品A,84,"メモなど"
2021/10/16 0:00,"001",商品A,13,"メモなど"
2021/10/18 0:00,"001",商品A,167,"メモなど"
2021/10/19 0:00,"001",商品A,87,"メモなど"
2021/10/20 0:00,"001",商品A,32,"メモなど"
2021/10/21 0:00,"001",商品A,45,"メモなど"
2021/10/22 0:00,"001",商品A,79,"メモなど"
2021/10/25 0:00,"001",商品A,99,"メモなど"
2021/10/26 0:00,"001",商品A,21,"メモなど"
2021/10/27 0:00,"001",商品A,62,"メモなど"
2021/10/28 0:00,"001",商品A,71,"メモなど"
2021/10/29 0:00,"001",商品A,94,"メモなど"
2021/11/1 0:00,"001",商品A,104,"メモなど"
2021/11/2 0:00,"001",商品A,50,"メモなど"
2021/11/4 0:00,"001",商品A,52,"メモなど"
2021/11/5 0:00,"001",商品A,98,"メモなど"
2021/11/6 0:00,"001",商品A,20,"メモなど"
2021/11/8 0:00,"001",商品A,173,"メモなど"
2021/11/9 0:00,"001",商品A,48,"メモなど"
2021/11/10 0:00,"001",商品A,30,"メモなど"
2021/11/11 0:00,"001",商品A,53,"メモなど"
2021/11/12 0:00,"001",商品A,47,"メモなど"
2021/11/15 0:00,"001",商品A,72,"メモなど"
2021/11/16 0:00,"001",商品A,83,"メモなど"
2021/11/17 0:00,"001",商品A,78,"メモなど"
2021/11/18 0:00,"001",商品A,125,"メモなど"
2021/11/19 0:00,"001",商品A,64,"メモなど"
2021/11/22 0:00,"001",商品A,96,"メモなど"
2021/11/24 0:00,"001",商品A,83,"メモなど"
2021/11/25 0:00,"001",商品A,105,"メモなど"
2021/11/26 0:00,"001",商品A,90,"メモなど"
2021/11/27 0:00,"001",商品A,57,"メモなど"
2021/11/29 0:00,"001",商品A,79,"メモなど"
2021/11/30 0:00,"001",商品A,53,"メモなど"
2021/12/1 0:00,"001",商品A,140,"メモなど"
2021/12/2 0:00,"001",商品A,99,"メモなど"
2021/12/3 0:00,"001",商品A,87,"メモなど"
2021/12/6 0:00,"001",商品A,152,"メモなど"
2021/12/7 0:00,"001",商品A,155,"メモなど"
2021/12/8 0:00,"001",商品A,194,"メモなど"
2021/12/9 0:00,"001",商品A,96,"メモなど"
2021/12/10 0:00,"001",商品A,139,"メモなど"
2021/12/13 0:00,"001",商品A,147,"メモなど"
2021/12/14 0:00,"001",商品A,114,"メモなど"
2021/12/15 0:00,"001",商品A,63,"メモなど"
2021/12/16 0:00,"001",商品A,69,"メモなど"
2021/12/17 0:00,"001",商品A,272,"メモなど"
2021/12/20 0:00,"001",商品A,169,"メモなど"
2021/12/21 0:00,"001",商品A,69,"メモなど"
2021/12/22 0:00,"001",商品A,77,"メモなど"
2021/12/23 0:00,"001",商品A,109,"メモなど"
2021/12/24 0:00,"001",商品A,116,"メモなど"
2021/12/25 0:00,"001",商品A,151,"メモなど"
2021/12/27 0:00,"001",商品A,118,"メモなど"
2021/12/28 0:00,"001",商品A,88,"メモなど"
2022/1/5 0:00,"001",商品A,75,"メモなど"
2022/1/6 0:00,"001",商品A,122,"メモなど"
2022/1/7 0:00,"001",商品A,118,"メモなど"
2022/1/11 0:00,"001",商品A,160,"メモなど"
2022/1/12 0:00,"001",商品A,51,"メモなど"
2022/1/13 0:00,"001",商品A,110,"メモなど"
2022/1/14 0:00,"001",商品A,67,"メモなど"
2022/1/17 0:00,"001",商品A,106,"メモなど"
2022/1/18 0:00,"001",商品A,77,"メモなど"
2022/1/19 0:00,"001",商品A,53,"メモなど"
2022/1/20 0:00,"001",商品A,19,"メモなど"
2022/1/21 0:00,"001",商品A,27,"メモなど"
2022/1/24 0:00,"001",商品A,96,"メモなど"
2022/1/25 0:00,"001",商品A,82,"メモなど"
2022/1/26 0:00,"001",商品A,33,"メモなど"
2022/1/27 0:00,"001",商品A,34,"メモなど"
2022/1/28 0:00,"001",商品A,105,"メモなど"
2022/1/31 0:00,"001",商品A,43,"メモなど"
2022/2/1 0:00,"001",商品A,75,"メモなど"
2022/2/2 0:00,"001",商品A,50,"メモなど"
2022/2/3 0:00,"001",商品A,60,"メモなど"
2022/2/4 0:00,"001",商品A,78,"メモなど"
2022/2/7 0:00,"001",商品A,94,"メモなど"
2022/2/8 0:00,"001",商品A,114,"メモなど"
2022/2/9 0:00,"001",商品A,50,"メモなど"
2022/2/10 0:00,"001",商品A,40,"メモなど"
2022/2/14 0:00,"001",商品A,89,"メモなど"
2022/2/15 0:00,"001",商品A,58,"メモなど"
2022/2/16 0:00,"001",商品A,70,"メモなど"
2022/2/17 0:00,"001",商品A,39,"メモなど"
2022/2/18 0:00,"001",商品A,172,"メモなど"
2022/2/21 0:00,"001",商品A,104,"メモなど"
2022/2/22 0:00,"001",商品A,54,"メモなど"
2022/2/24 0:00,"001",商品A,59,"メモなど"
2022/2/25 0:00,"001",商品A,82,"メモなど"
2022/2/28 0:00,"001",商品A,123,"メモなど"
2022/3/1 0:00,"001",商品A,100,"メモなど"
2022/3/2 0:00,"001",商品A,37,"メモなど"
2022/3/3 0:00,"001",商品A,59,"メモなど"
2022/3/4 0:00,"001",商品A,91,"メモなど"
2022/3/7 0:00,"001",商品A,157,"メモなど"
2022/3/8 0:00,"001",商品A,109,"メモなど"
2022/3/9 0:00,"001",商品A,60,"メモなど"
2022/3/10 0:00,"001",商品A,51,"メモなど"
2022/3/11 0:00,"001",商品A,62,"メモなど"
2022/3/14 0:00,"001",商品A,83,"メモなど"
2022/3/15 0:00,"001",商品A,52,"メモなど"
2022/3/16 0:00,"001",商品A,77,"メモなど"
2022/3/17 0:00,"001",商品A,52,"メモなど"
2022/3/18 0:00,"001",商品A,96,"メモなど"
2022/3/22 0:00,"001",商品A,88,"メモなど"
2022/3/23 0:00,"001",商品A,46,"メモなど"
2022/3/24 0:00,"001",商品A,43,"メモなど"
2022/3/25 0:00,"001",商品A,92,"メモなど"
2022/3/28 0:00,"001",商品A,99,"メモなど"
2022/3/29 0:00,"001",商品A,93,"メモなど"
2022/3/30 0:00,"001",商品A,32,"メモなど"
2022/3/31 0:00,"001",商品A,38,"メモなど"
2022/4/1 0:00,"001",商品A,141,"メモなど"
2022/4/4 0:00,"001",商品A,146,"メモなど"
2022/4/5 0:00,"001",商品A,38,"メモなど"
2022/4/6 0:00,"001",商品A,80,"メモなど"
2022/4/7 0:00,"001",商品A,67,"メモなど"
2022/4/8 0:00,"001",商品A,145,"メモなど"
2022/4/11 0:00,"001",商品A,136,"メモなど"
2022/4/12 0:00,"001",商品A,41,"メモなど"
2022/4/13 0:00,"001",商品A,43,"メモなど"
2022/4/14 0:00,"001",商品A,33,"メモなど"
2022/4/15 0:00,"001",商品A,104,"メモなど"
2022/4/16 0:00,"001",商品A,19,"メモなど"
2022/4/18 0:00,"001",商品A,145,"メモなど"
2022/4/19 0:00,"001",商品A,47,"メモなど"
2022/4/20 0:00,"001",商品A,58,"メモなど"
2022/4/21 0:00,"001",商品A,56,"メモなど"
2022/4/22 0:00,"001",商品A,85,"メモなど"
2022/4/25 0:00,"001",商品A,70,"メモなど"
2022/4/26 0:00,"001",商品A,74,"メモなど"
2022/4/27 0:00,"001",商品A,59,"メモなど"
2022/4/28 0:00,"001",商品A,112,"メモなど"
2022/5/2 0:00,"001",商品A,178,"メモなど"
2022/5/6 0:00,"001",商品A,162,"メモなど"
2022/5/9 0:00,"001",商品A,93,"メモなど"
2022/5/10 0:00,"001",商品A,129,"メモなど"
2022/5/11 0:00,"001",商品A,89,"メモなど"
2022/5/12 0:00,"001",商品A,51,"メモなど"
2022/5/13 0:00,"001",商品A,73,"メモなど"
2022/5/16 0:00,"001",商品A,129,"メモなど"
2022/5/17 0:00,"001",商品A,51,"メモなど"
2022/5/18 0:00,"001",商品A,84,"メモなど"
2022/5/19 0:00,"001",商品A,51,"メモなど"
2022/5/20 0:00,"001",商品A,34,"メモなど"
2022/5/23 0:00,"001",商品A,69,"メモなど"
2022/5/24 0:00,"001",商品A,70,"メモなど"
2022/5/25 0:00,"001",商品A,48,"メモなど"
2022/5/26 0:00,"001",商品A,75,"メモなど"
2022/5/27 0:00,"001",商品A,94,"メモなど"
2022/5/30 0:00,"001",商品A,50,"メモなど"
2022/5/31 0:00,"001",商品A,30,"メモなど"
2022/6/1 0:00,"001",商品A,117,"メモなど"
2022/6/2 0:00,"001",商品A,83,"メモなど"
2022/6/3 0:00,"001",商品A,85,"メモなど"
2022/6/6 0:00,"001",商品A,158,"メモなど"
2022/6/7 0:00,"001",商品A,85,"メモなど"
2022/6/8 0:00,"001",商品A,168,"メモなど"
2022/6/9 0:00,"001",商品A,76,"メモなど"
2022/6/10 0:00,"001",商品A,52,"メモなど"
2022/6/13 0:00,"001",商品A,149,"メモなど"
2022/6/14 0:00,"001",商品A,78,"メモなど"
2022/6/15 0:00,"001",商品A,29,"メモなど"
2022/6/16 0:00,"001",商品A,50,"メモなど"
2022/6/17 0:00,"001",商品A,160,"メモなど"
2022/6/20 0:00,"001",商品A,61,"メモなど"
2022/6/21 0:00,"001",商品A,32,"メモなど"
2022/6/22 0:00,"001",商品A,74,"メモなど"
2022/6/23 0:00,"001",商品A,53,"メモなど"
2022/6/24 0:00,"001",商品A,40,"メモなど"
2022/6/27 0:00,"001",商品A,138,"メモなど"
2022/6/28 0:00,"001",商品A,111,"メモなど"
2022/6/29 0:00,"001",商品A,70,"メモなど"
2022/6/30 0:00,"001",商品A,106,"メモなど"
2022/7/1 0:00,"001",商品A,158,"メモなど"
2022/7/4 0:00,"001",商品A,120,"メモなど"
2022/7/5 0:00,"001",商品A,46,"メモなど"
2022/7/6 0:00,"001",商品A,33,"メモなど"
2022/7/7 0:00,"001",商品A,60,"メモなど"
2022/7/8 0:00,"001",商品A,136,"メモなど"
2022/7/11 0:00,"001",商品A,95,"メモなど"
2022/7/12 0:00,"001",商品A,98,"メモなど"
2022/7/13 0:00,"001",商品A,82,"メモなど"
2022/7/14 0:00,"001",商品A,57,"メモなど"
2022/7/15 0:00,"001",商品A,56,"メモなど"
2022/7/16 0:00,"001",商品A,83,"メモなど"
2022/7/19 0:00,"001",商品A,108,"メモなど"
2022/7/20 0:00,"001",商品A,48,"メモなど"
2022/7/21 0:00,"001",商品A,45,"メモなど"
2022/7/22 0:00,"001",商品A,77,"メモなど"
2022/7/25 0:00,"001",商品A,93,"メモなど"
2022/7/26 0:00,"001",商品A,40,"メモなど"
2022/7/27 0:00,"001",商品A,35,"メモなど"
2022/7/28 0:00,"001",商品A,51,"メモなど"
2022/7/29 0:00,"001",商品A,100,"メモなど"
2022/8/1 0:00,"001",商品A,64,"メモなど"
2022/8/2 0:00,"001",商品A,50,"メモなど"
2022/8/3 0:00,"001",商品A,96,"メモなど"
2022/8/4 0:00,"001",商品A,37,"メモなど"
2022/8/5 0:00,"001",商品A,42,"メモなど"
2022/8/8 0:00,"001",商品A,159,"メモなど"
2022/8/9 0:00,"001",商品A,32,"メモなど"
2022/8/10 0:00,"001",商品A,82,"メモなど"
2022/8/16 0:00,"001",商品A,175,"メモなど"
2022/8/17 0:00,"001",商品A,49,"メモなど"
2022/8/18 0:00,"001",商品A,149,"メモなど"
2022/8/19 0:00,"001",商品A,46,"メモなど"
2022/8/22 0:00,"001",商品A,89,"メモなど"
2022/8/23 0:00,"001",商品A,70,"メモなど"
2022/8/24 0:00,"001",商品A,43,"メモなど"
2022/8/25 0:00,"001",商品A,44,"メモなど"
2022/8/26 0:00,"001",商品A,64,"メモなど"
2022/8/29 0:00,"001",商品A,143,"メモなど"
2022/8/30 0:00,"001",商品A,36,"メモなど"
2022/8/31 0:00,"001",商品A,33,"メモなど"
2022/9/1 0:00,"001",商品A,71,"メモなど"
2022/9/2 0:00,"001",商品A,62,"メモなど"
2022/9/5 0:00,"001",商品A,112,"メモなど"
2022/9/6 0:00,"001",商品A,56,"メモなど"
2022/9/7 0:00,"001",商品A,62,"メモなど"
2022/9/8 0:00,"001",商品A,99,"メモなど"
2022/9/9 0:00,"001",商品A,38,"メモなど"
2022/9/12 0:00,"001",商品A,63,"メモなど"
2022/9/13 0:00,"001",商品A,38,"メモなど"
2022/9/14 0:00,"001",商品A,49,"メモなど"
2022/9/15 0:00,"001",商品A,37,"メモなど"
2022/9/16 0:00,"001",商品A,92,"メモなど"
2022/9/20 0:00,"001",商品A,86,"メモなど"
2022/9/21 0:00,"001",商品A,45,"メモなど"
2022/9/22 0:00,"001",商品A,99,"メモなど"
2022/9/26 0:00,"001",商品A,60,"メモなど"
2022/9/27 0:00,"001",商品A,40,"メモなど"
2022/9/28 0:00,"001",商品A,62,"メモなど"
2022/9/29 0:00,"001",商品A,42,"メモなど"
2022/9/30 0:00,"001",商品A,18,"メモなど"
2022/10/3 0:00,"001",商品A,146,"メモなど"
2022/10/4 0:00,"001",商品A,60,"メモなど"
2022/10/5 0:00,"001",商品A,83,"メモなど"
2022/10/6 0:00,"001",商品A,46,"メモなど"
2022/10/7 0:00,"001",商品A,201,"メモなど"
2022/10/11 0:00,"001",商品A,128,"メモなど"
2022/10/12 0:00,"001",商品A,52,"メモなど"
2022/10/13 0:00,"001",商品A,27,"メモなど"
2022/10/14 0:00,"001",商品A,82,"メモなど"
2022/10/17 0:00,"001",商品A,60,"メモなど"
2022/10/18 0:00,"001",商品A,142,"メモなど"
2022/10/19 0:00,"001",商品A,56,"メモなど"
2022/10/20 0:00,"001",商品A,53,"メモなど"
2022/10/21 0:00,"001",商品A,93,"メモなど"
2022/10/24 0:00,"001",商品A,123,"メモなど"
2022/10/25 0:00,"001",商品A,46,"メモなど"
2022/10/26 0:00,"001",商品A,46,"メモなど"
2022/10/27 0:00,"001",商品A,23,"メモなど"
2022/10/28 0:00,"001",商品A,181,"メモなど"
2022/10/31 0:00,"001",商品A,72,"メモなど"
2022/11/1 0:00,"001",商品A,137,"メモなど"
2022/11/2 0:00,"001",商品A,15,"メモなど"
2022/11/4 0:00,"001",商品A,160,"メモなど"
2022/11/7 0:00,"001",商品A,85,"メモなど"
2022/11/8 0:00,"001",商品A,187,"メモなど"
2022/11/9 0:00,"001",商品A,74,"メモなど"
2022/11/10 0:00,"001",商品A,59,"メモなど"
2022/11/11 0:00,"001",商品A,88,"メモなど"
2022/11/14 0:00,"001",商品A,99,"メモなど"
2022/11/15 0:00,"001",商品A,64,"メモなど"
2022/11/16 0:00,"001",商品A,102,"メモなど"
2022/11/17 0:00,"001",商品A,70,"メモなど"
2022/11/18 0:00,"001",商品A,138,"メモなど"
2022/11/21 0:00,"001",商品A,105,"メモなど"
2022/11/22 0:00,"001",商品A,70,"メモなど"
2022/11/24 0:00,"001",商品A,86,"メモなど"
2022/11/25 0:00,"001",商品A,135,"メモなど"
2022/11/28 0:00,"001",商品A,205,"メモなど"
2022/11/29 0:00,"001",商品A,106,"メモなど"
2022/11/30 0:00,"001",商品A,96,"メモなど"
2021/1/5 0:00,"020","商品B",1868,"メモなど"
2021/1/6 0:00,"020","商品B",1717,"メモなど"
2021/1/7 0:00,"020","商品B",1176,"メモなど"
2021/1/8 0:00,"020","商品B",1646,"メモなど"
2021/1/12 0:00,"020","商品B",2440,"メモなど"
2021/1/13 0:00,"020","商品B",976,"メモなど"
2021/1/14 0:00,"020","商品B",874,"メモなど"
2021/1/15 0:00,"020","商品B",1016,"メモなど"
2021/1/16 0:00,"020","商品B",209,"メモなど"
2021/1/18 0:00,"020","商品B",2164,"メモなど"
2021/1/19 0:00,"020","商品B",992,"メモなど"
2021/1/20 0:00,"020","商品B",829,"メモなど"
2021/1/21 0:00,"020","商品B",696,"メモなど"
2021/1/22 0:00,"020","商品B",932,"メモなど"
2021/1/25 0:00,"020","商品B",1395,"メモなど"
2021/1/26 0:00,"020","商品B",1079,"メモなど"
2021/1/27 0:00,"020","商品B",930,"メモなど"
2021/1/28 0:00,"020","商品B",785,"メモなど"
2021/1/29 0:00,"020","商品B",1270,"メモなど"
2021/2/1 0:00,"020","商品B",2524,"メモなど"
2021/2/2 0:00,"020","商品B",1005,"メモなど"
2021/2/3 0:00,"020","商品B",1054,"メモなど"
2021/2/4 0:00,"020","商品B",960,"メモなど"
2021/2/5 0:00,"020","商品B",1237,"メモなど"
2021/2/8 0:00,"020","商品B",2141,"メモなど"
2021/2/9 0:00,"020","商品B",919,"メモなど"
2021/2/10 0:00,"020","商品B",917,"メモなど"
2021/2/12 0:00,"020","商品B",1554,"メモなど"
2021/2/15 0:00,"020","商品B",1822,"メモなど"
2021/2/16 0:00,"020","商品B",961,"メモなど"
2021/2/17 0:00,"020","商品B",1011,"メモなど"
2021/2/18 0:00,"020","商品B",1222,"メモなど"
2021/2/19 0:00,"020","商品B",907,"メモなど"
2021/2/22 0:00,"020","商品B",1482,"メモなど"
2021/2/24 0:00,"020","商品B",1444,"メモなど"
2021/2/25 0:00,"020","商品B",1093,"メモなど"
2021/2/26 0:00,"020","商品B",1471,"メモなど"
2021/3/1 0:00,"020","商品B",2783,"メモなど"
2021/3/2 0:00,"020","商品B",1289,"メモなど"
2021/3/3 0:00,"020","商品B",1121,"メモなど"
2021/3/4 0:00,"020","商品B",933,"メモなど"
2021/3/5 0:00,"020","商品B",1081,"メモなど"
